Produto,Quantidade,Valor Unitário,Valor Total,Supermercado
OVOS BCOS MANT C/12,1.0,10.39,10.39,SUPERMERCADOS BH COM. DE ALIMENTOS S.A
BEB EN MONST 473ML 2 LT 8.68,1.0,17.36,17.36,SUPERMERCADOS BH COM. DE ALIMENTOS S.A
CONC LIQ B ISCHIA IL,1.0,10.98,10.98,SUPERMERCADOS BH COM. DE ALIMENTOS S.A
TILAP MORAD FISH,1.00055617352614,35.96,35.98,SUPERMERCADOS BH COM. DE ALIMENTOS S.A
FILEZ FGO NAT 1KG 1 PT 16.98,1.0,16.98,16.98,SUPERMERCADOS BH COM. DE ALIMENTOS S.A
TOTAL R$,1.0,91.69,91.69,SUPERMERCADOS BH COM. DE ALIMENTOS S.A
A PAGAR R$,1.0,91.69,91.69,SUPERMERCADOS BH COM. DE ALIMENTOS S.A
de debito,1.0,91.69,91.69,SUPERMERCADOS BH COM. DE ALIMENTOS S.A
